content_producer	term_id	langs	country	type	result_number	link_type	link_accessibility	how_recent_is_the_information	what_is_the_author_background	are_there_major_scientific_errors_in_the_link	how_accurate_is_the_scientific_content_presen	are_there_any_scientific_terms_that_lay_peopl	jargon_score	is_a_scientific_background_high_school_or_abo	x1_none_of_the_below	x2_others	x3_place_to_leave_comments_ask_questions	x4_graphs	x5_relevant_multimedia_e_g_video_animation_et	x6_hyper_links	x7_numerical_data	x8_list_of_sources	x9_citation_or_references_to_relevant_literat	are_there_local_examples_in_the_content_e_g_r	local_examples_prop	does_the_content_present_advantages_and_disad	site_type_fct	producer_high_cred	access_multimedia	access_sci	accuracy	cred	cons_n_neg	cons_n_pos	contextual	recency	conspiracy	access	agg_sci_qual	agg_sci_qual_norm
1	70	Portuguese	Brazil	Socio-Scientific Issues	7	1	1	1	1	2	3	2	3	2	1	0	0	0	0	0	0	0	0	2	1	0	Text	TRUE	0	2	1	1	0	0	2	0	0	2	6	1.75
1	66	Portuguese	Brazil	Socio-Scientific Issues	2	1	1	1	1	2	3	1	2	1	0	0	0	0	0	1	1	1	1	1	0.5	1	Text	TRUE	1	0	1	3	0	0	1	0	0	1	6	1.75
1	58	French	Democratic Republic of the Congo	Socio-Scientific Issues	10	1	1	1	1	2	3	2	3	2	0	0	0	0	1	0	0	0	0	1	0.5	1	Text	TRUE	1	2	1	1	0	0	0	0	0	3	5	1.25
1	54	German	Germany	Socio-Scientific Issues	3	1	1	1	1	2	3	2	3	2	0	0	1	0	0	1	0	0	1	1	0.5	1	Text	TRUE	1	2	1	2	0	0	0	0	0	3	6	1.5
1	54	German	Germany	Socio-Scientific Issues	2	1	1	1	1	2	3	2	3	2	0	0	1	0	1	1	1	1	1	2	1	1	Text	TRUE	2	2	1	3	0	0	1	0	0	4	9	2.25
1	58	German	Germany	Socio-Scientific Issues	18	1	1	1	1	2	3	2	3	2	0	0	1	0	0	1	0	0	0	1	0.5	1	Text	TRUE	1	2	1	1	0	0	0	0	0	3	5	1.25
1	42	German	Germany	Novel Science and Technology Issues	3	1	1	4	1	2	3	1	2	2	0	0	0	0	0	1	1	0	1	1	0.5	2	Text	TRUE	1	1	1	2	0	0	1	1	0	2	7	2.66666666666667
1	42	German	Germany	Novel Science and Technology Issues	4	1	1	4	1	2	3	1	2	2	0	0	1	0	0	1	0	0	0	1	0.5	2	Text	TRUE	1	1	1	1	0	0	0	1	0	2	5	2.08333333333333
1	20	German	Germany	Canonical Scientific Issues	10	1	1	1	1	2	3	2	3	2	0	0	0	0	0	1	0	0	0	1	0.5	1	Text	TRUE	1	2	1	1	0	0	0	0	0	3	5	1.25
1	66	German	Germany	Socio-Scientific Issues	10	1	1	3	1	2	3	1	1	1	0	0	1	0	0	1	1	0	1	1	0.5	1	Text	TRUE	1	0	1	2	0	0	0	0	0	1	4	1.16666666666667
1	71	German	Germany	Socio-Scientific Issues	4	1	1	1	1	2	3	1	1	2	0	0	1	0	0	1	0	0	1	2	1	1	Text	TRUE	1	1	1	2	0	0	1	0	0	2	6	1.66666666666667
1	44	German	Germany	Novel Science and Technology Issues	9	1	1	1	3	2	3	1	2	2	0	0	1	0	0	1	1	0	0	1	0.5	1	Text	TRUE	1	1	1	2	0	0	0	0	0	2	5	1.33333333333333
1	28	German	Germany	Canonical Scientific Issues	11	1	1	1	1	2	3	2	3	2	0	0	1	0	0	1	0	0	0	2	1	1	Text	TRUE	1	2	1	1	0	0	1	0	0	3	6	1.58333333333333
1	28	German	Germany	Canonical Scientific Issues	16	1	1	1	1	2	3	2	3	2	0	0	1	0	0	1	0	0	0	2	1	1	Text	TRUE	1	2	1	1	0	0	1	0	0	3	6	1.58333333333333
1	35	German	Germany	Canonical Scientific Issues	1	1	1	4	1	2	3	2	3	2	0	0	0	0	1	0	0	0	0	1	0.5	1	Text	TRUE	1	2	1	1	0	0	0	1	0	3	6	2.25
1	56	German	Germany	Socio-Scientific Issues	3	1	1	4	1	2	3	1	2	2	0	0	1	0	0	1	1	1	1	1	0.5	1	Text	TRUE	1	1	1	3	0	0	1	1	0	2	8	2.91666666666667
1	58	Arabic	Egypt	Socio-Scientific Issues	2	1	1	1	1	2	3	2	3	2	0	0	0	0	0	1	1	0	0	0	0	0	Text	TRUE	1	2	1	1	0	0	1	0	0	3	6	1.58333333333333
1	6	Spanish	Spain	Canonical Scientific Issues	1	1	1	4	1	2	3	2	3	2	0	0	0	0	1	0	0	0	0	1	0.5	1	Text	TRUE	1	2	1	1	0	0	0	1	0	3	6	2.25
1	39	Spanish	Spain	Novel Science and Technology Issues	1	1	1	4	1	2	3	2	3	1	0	0	0	0	0	1	0	0	0	1	0.5	1	Text	TRUE	1	1	1	1	0	0	1	1	0	2	6	2.41666666666667
1	43	Spanish	Spain	Novel Science and Technology Issues	3	1	1	1	1	2	3	2	3	2	1	0	0	0	0	0	0	0	0	1	0.5	1	Text	TRUE	0	2	1	1	0	0	1	0	0	2	5	1.41666666666667
1	52	Spanish	Spain	Novel Science and Technology Issues	2	1	1	1	1	2	3	2	3	2	0	0	1	0	0	1	0	0	1	1	0.5	1	Text	TRUE	1	2	1	2	0	0	0	0	0	3	6	1.5
1	68	Spanish	Spain	Socio-Scientific Issues	1	1	1	1	1	2	3	2	3	2	0	0	0	0	0	0	0	0	1	1	0.5	1	Text	TRUE	0	2	1	2	0	0	0	0	0	2	5	1.33333333333333
1	68	Spanish	Spain	Socio-Scientific Issues	7	1	1	4	3	2	3	2	3	2	0	0	0	0	0	1	0	1	1	1	0.5	2	Text	TRUE	1	2	1	4	0	0	1	1	0	3	10	3.33333333333333
1	71	Spanish	Spain	Socio-Scientific Issues	8	1	1	1	1	2	3	1	1	2	0	0	0	0	0	1	1	0	1	1	0.5	1	Text	TRUE	1	1	1	2	0	0	0	0	0	2	5	1.33333333333333
1	38	Spanish	Spain	Canonical Scientific Issues	9	1	1	2	2	2	3	1	1	1	0	0	1	0	0	0	0	0	0	1	0.5	1	Text	TRUE	0	0	1	1	0	0	0	0	0	0	2	0.75
1	42	French	France	Novel Science and Technology Issues	3	1	1	1	1	2	3	2	3	2	1	0	0	0	0	0	0	0	0	1	0.5	2	Text	TRUE	0	2	1	1	0	0	1	0	0	2	5	1.41666666666667
1	43	French	France	Novel Science and Technology Issues	1	1	1	1	1	2	3	1	2	2	1	0	0	0	0	0	0	0	0	1	0.5	2	Text	TRUE	0	1	1	1	0	0	0	0	0	1	3	0.916666666666667
1	54	French	France	Socio-Scientific Issues	10	1	1	1	1	2	3	2	3	2	0	0	0	0	0	1	0	0	0	2	1	2	Text	TRUE	1	2	1	1	0	0	2	0	0	3	7	1.91666666666667
1	58	French	France	Socio-Scientific Issues	7	1	1	4	1	2	3	2	3	1	0	0	0	0	0	1	1	0	0	2	1	2	Text	TRUE	1	1	1	1	0	0	2	1	0	2	7	2.75
1	68	French	France	Socio-Scientific Issues	1	1	1	1	1	2	3	2	3	2	1	0	0	0	0	0	0	0	0	1	0.5	2	Text	TRUE	0	2	1	1	0	0	0	0	0	2	4	1.08333333333333
1	28	French	France	Canonical Scientific Issues	8	1	4	4	1	0	0	2	3	2	0	0	0	0	0	1	0	0	0	0	0	0	Text	TRUE	1	2	0	1	0	0	0	1	0	3	5	1.75
