content_producer	site_type	gl	hl	term_id	langs	country	term	type	code_lang	collection_date	result_number	link	domain	top_level_domain	coding_completion_date	link_type	link_accessibility	how_recent_is_the_information	what_is_the_author_background	are_there_major_scientific_errors_in_the_link	how_accurate_is_the_scientific_content_presen	are_there_any_scientific_terms_that_lay_peopl	if_you_answered_no_to_the_previous_question_y	jargon_score	is_a_scientific_background_high_school_or_abo	are_the_following_sources_available_in_the_li	x1_none_of_the_below	x2_others	x3_place_to_leave_comments_ask_questions	x4_graphs	x5_relevant_multimedia_e_g_video_animation_et	x6_hyper_links	x7_numerical_data	x8_list_of_sources	x9_citation_or_references_to_relevant_literat	does_the_content_reject_or_reinforce_the_disc	is_malicious_meaning_is_alluded_to_in_the_tex	do_claims_contradict_accepted_scientific_expl	are_specific_groups_in_society_pharma_jews_mu	is_there_reference_to_everyday_life	are_there_local_examples_in_the_content_e_g_r	local_examples_prop	does_the_content_present_advantages_and_disad	langs_country	lang_short	lang_uniq	site_type_fct	content_producer_fct	site_type_collapsed	producer_high_cred	access_multimedia	access_sci	accuracy	cred	cons_n_neg	cons_n_pos	contextual	recency	conspiracy	access	agg_sci_qual	agg_sci_qual_norm
	""	cg	fr	8	French	Kinshasa,Democratic Republic of the Congo	Pollution	Canonical Scientific Issues	fr	4.12.2022	4	https://www.lexpress.fr/actualite/societe/environnement/pollution-lumineuse-la-trame-noire-permettra-t-elle-de-sauver-les-especes-nocturnes_2184294.html	www.lexpress.fr	lexpress.fr	16.5.2023	3	2									""																		French_Kinshasa,Democratic Republic of the Congo	fr	fr-cg			""	FALSE	0	0	0	0	0	0	1		0	0		
	""	cg	fr	12	French	Kinshasa,Democratic Republic of the Congo	Fungi	Canonical Scientific Issues	fr	4.12.2022	5	https://ucmp.berkeley.edu/fungi/fungi.html	ucmp.berkeley.edu	berkeley.edu	16.5.2023	1	3									""																		French_Kinshasa,Democratic Republic of the Congo	fr	fr-cg			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	cg	fr	12	French	Kinshasa,Democratic Republic of the Congo	Fungi	Canonical Scientific Issues	fr	4.12.2022	4	https://microbiologysociety.org/why-microbiology-matters/what-is-microbiology/fungi.html	microbiologysociety.org	microbiologysociety.org	16.5.2023	1	3									""																		French_Kinshasa,Democratic Republic of the Congo	fr	fr-cg			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	cg	fr	12	French	Kinshasa,Democratic Republic of the Congo	Fungi	Canonical Scientific Issues	fr	4.12.2022	9	https://biologydictionary.net/fungi/	biologydictionary.net	biologydictionary.net	16.5.2023	1	3									""																		French_Kinshasa,Democratic Republic of the Congo	fr	fr-cg			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	cg	fr	16	French	Kinshasa,Democratic Republic of the Congo	Solution	Canonical Scientific Issues	fr	22.12.2022	9	https://www.alloprof.qc.ca/fr/eleves/bv/sciences/les-proprietes-des-solutions-s1026	www.alloprof.qc.ca	alloprof.qc.ca	13.4.2023	1	2									""																		French_Kinshasa,Democratic Republic of the Congo	fr	fr-cg			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	cg	fr	28	French	Kinshasa,Democratic Republic of the Congo	Énergie	Canonical Scientific Issues	fr	22.12.2022	7	https://www.lemonde.fr/idees/article/2022/11/28/energie-l-ue-devrait-abandonner-l-idee-de-plafonnement-des-prix-et-s-attaquer-au-probleme-de-l-egalite-des-conditions-de-concurrence_6151914_3232.html	www.lemonde.fr	lemonde.fr	27.4.2023	3	2									""																		French_Kinshasa,Democratic Republic of the Congo	fr	fr-cg			""	FALSE	0	0	0	0	0	0	1		0	0		
	""	cg	fr	38	French	Kinshasa,Democratic Republic of the Congo	Évolution	Canonical Scientific Issues	fr	22.12.2022	10	https://onlinelibrary.wiley.com/journal/15585646	onlinelibrary.wiley.com	wiley.com	30.10.2022	1	5									""																		French_Kinshasa,Democratic Republic of the Congo	fr	fr-cg			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	cg	fr	46	French	Kinshasa,Democratic Republic of the Congo	CRISPR	Novel Science and Technology Issues	fr	22.12.2022	10	https://medlineplus.gov/genetics/understanding/genomicresearch/genomeediting/	medlineplus.gov	medlineplus.gov	30.10.2022	1	3									""																		French_Kinshasa,Democratic Republic of the Congo	fr	fr-cg			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	cg	fr	52	French	Kinshasa,Democratic Republic of the Congo	mutations	Novel Science and Technology Issues	fr	22.12.2022	6	https://www.genome.gov/genetics-glossary/Mutation	www.genome.gov	genome.gov	30.10.2022	1	3									""																		French_Kinshasa,Democratic Republic of the Congo	fr	fr-cg			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	cg	fr	44	French	Kinshasa,Democratic Republic of the Congo	Mars	Novel Science and Technology Issues	fr	22.12.2022	12	https://www.mars.com/	www.mars.com	mars.com	30.10.2022	1	4									""																		French_Kinshasa,Democratic Republic of the Congo	fr	fr-cg			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	de	de	20	German	Berlin,Berlin,Germany	Atom	Canonical Scientific Issues	de	18.8.2022	6	https://github.blog/2022-06-08-sunsetting-atom/getting-started/sections/installing-atom/	github.blog	github.blog	23.9.2022	1	5									""																		German_Berlin,Berlin,Germany	de	de			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	de	de	46	German	Berlin,Berlin,Germany	CRISPR	Novel Science and Technology Issues	de	18.8.2022	7	https://www.ardmediathek.de/video/dokus-im-ersten/crispr-revolution-im-genlabor/das-erste/Y3JpZDovL2Rhc2Vyc3RlLmRlL3JlcG9ydGFnZSBfIGRva3VtZW50YXRpb24gaW0gZXJzdGVuL2FjYjRlMjg3LTAyNTEtNGVkMi1iYzZhLWIxMzBmOGY4MDBhYw	www.ardmediathek.de	ardmediathek.de	23.9.2022	2	5									""																		German_Berlin,Berlin,Germany	de	de			""	FALSE	1	0	0	0	0	0	0		0	1		
	""	de	de	38	German	Berlin,Berlin,Germany	Evolution	Canonical Scientific Issues	de	18.8.2022	7	https://www.businessinsider.de/leben/pronatalisten-elon-musk-evolution-menschheit-geburtenrate-zivilisation-femtech-fortpflanzung-b/	www.businessinsider.de	businessinsider.de	23.9.2022	3	2									""																		German_Berlin,Berlin,Germany	de	de			""	FALSE	0	0	0	0	0	0	1		0	0		
	""	de	de	52	German	Berlin,Berlin,Germany	mutation	Novel Science and Technology Issues	de	4.12.2022	3	https://www.spektrum.de/lexikon/biologie/mutation/44508	www.spektrum.de	spektrum.de	30.1.2023	1	2									""	0	0	0	0	0	0	0	0	0									German_Berlin,Berlin,Germany	de	de			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	eg	ar	29	Arabic	Cairo,Cairo Governorate,Egypt	وزن	Canonical Scientific Issues	ar	14.3.2022	3	https://www.moh.gov.sa/HealthAwareness/MedicalTools/Pages/IdealBodyWeight.aspx	www.moh.gov.sa	moh.gov.sa	28.5.23	1	5							0		""														0		0	0	Arabic_Cairo,Cairo Governorate,Egypt	ar	ar			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	eg	ar	35	Arabic	Cairo,Cairo Governorate,Egypt	المجموعة الشمسية	Canonical Scientific Issues	ar	14.3.2022	6	https://alwan.elwatannews.com/news/details/5990275/%D8%A3%D9%83%D8%A8%D8%B1-%D9%83%D9%88%D9%83%D8%A8-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A9-%D8%A7%D9%84%D8%B4%D9%85%D8%B3%D9%8A%D8%A9-%D8%AD%D9%82%D8%A7%D8%A6%D9%82-%D8%AA%D8%B9%D8%B1%D9%81%D9%87%D8%A7-%D9%84%D8%A3%D9%88%D9%84-%D9%85%D8%B1%D8%A9	alwan.elwatannews.com	elwatannews.com	28.5.23	3	5							0		""														1		0	0	Arabic_Cairo,Cairo Governorate,Egypt	ar	ar			""	FALSE	0	0	0	0	0	0	1		0	0		
	""	eg	ar	39	Arabic	Cairo,Cairo Governorate,Egypt	تفاعل البوليمراز المتسلسل	Novel Science and Technology Issues	ar	14.3.2022	9	https://www.youtube.com/watch?v=XHHP5D8A5Qk	www.youtube.com	youtube.com	28.5.23	2	5							0		""																		Arabic_Cairo,Cairo Governorate,Egypt	ar	ar			""	FALSE	1	0	0	0	0	0	0		0	1		
	""	eg	ar	43	Arabic	Cairo,Cairo Governorate,Egypt	الجينوم	Novel Science and Technology Issues	ar	14.3.2022	8	https://www.scidev.net/mena/news/egyptian-reference-human-genome/	www.scidev.net	scidev.net	28.5.23	1	5							0		""														1		0	1	Arabic_Cairo,Cairo Governorate,Egypt	ar	ar			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	eg	ar	49	Arabic	Cairo,Cairo Governorate,Egypt	الثقب الاسود	Novel Science and Technology Issues	ar	14.3.2022	12	https://nasainarabic.net/main/categories/view/mke55	nasainarabic.net	nasainarabic.net	28.5.23	1	5							0		""														1		0	1	Arabic_Cairo,Cairo Governorate,Egypt	ar	ar			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	eg	ar	53	Arabic	Cairo,Cairo Governorate,Egypt	سوء التغذية	Socio-Scientific Issues	ar	14.3.2022	4	https://www.moh.gov.sa/HealthAwareness/EducationalContent/Food-and-Nutrition/Pages/Poor_Nutrition.aspx	www.moh.gov.sa	moh.gov.sa	28.5.23	1	5							0		""														1		0	1	Arabic_Cairo,Cairo Governorate,Egypt	ar	ar			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	eg	ar	54	Arabic	Cairo,Cairo Governorate,Egypt	الامن الغذائي	Socio-Scientific Issues	ar	14.3.2022	12	https://oldmedia.ifrc.org/ifrc/document/%D8%A7%D9%84%D8%A3%D9%85%D9%86-%D8%A7%D9%84%D8%BA%D8%B0%D8%A7%D8%A6%D9%8A-%D9%88%D8%A7%D9%84%D8%AA%D8%BA%D8%B0%D9%8A%D8%A9/?lang=ar	oldmedia.ifrc.org	ifrc.org	28.5.23	1	5							0		""														1		0	1	Arabic_Cairo,Cairo Governorate,Egypt	ar	ar			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	es	es	5	Spanish	Madrid,Community of Madrid,Spain	Medio ambiente	Canonical Scientific Issues	es	4.12.2022	8	https://www.gob.mx/semarnat	www.gob.mx	www.gob.mx	08.04.2023	1	4									""																		Spanish_Madrid,Community of Madrid,Spain	es	es-es			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	es	es	8	Spanish	Madrid,Community of Madrid,Spain	Contaminación	Canonical Scientific Issues	es	4.12.2022	4	http://www.aire.cdmx.gob.mx/default.php	www.aire.cdmx.gob.mx	cdmx.gob.mx	08.04.2023	1	4									""																		Spanish_Madrid,Community of Madrid,Spain	es	es-es			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	es	es	8	Spanish	Madrid,Community of Madrid,Spain	Contaminación	Canonical Scientific Issues	es	4.12.2022	10	https://airedemadrid.madrid.es/portal/site/calidadaire	airedemadrid.madrid.es	madrid.es	08.04.2023	1	4									""																		Spanish_Madrid,Community of Madrid,Spain	es	es-es			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	es	es	13	Spanish	Madrid,Community of Madrid,Spain	Mammalia	Canonical Scientific Issues	es	4.12.2022	4	https://demammalia.com/	demammalia.com	demammalia.com	08.04.2023	1	4									""																		Spanish_Madrid,Community of Madrid,Spain	es	es-es			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	es	es	28	Spanish	Madrid,Community of Madrid,Spain	Energía	Canonical Scientific Issues	es	4.12.2022	3	https://www.abc.es/economia/emprendedor-espanol-ilumina-nueva-energia-20221204145443-nt.html	www.abc.es	abc.es	08.04.2023	3	2									""																		Spanish_Madrid,Community of Madrid,Spain	es	es-es			""	FALSE	0	0	0	0	0	0	1		0	0		
	""	es	es	28	Spanish	Madrid,Community of Madrid,Spain	Energía	Canonical Scientific Issues	es	4.12.2022	9	https://www.gob.mx/sener	www.gob.mx	www.gob.mx	08.04.2023	1	4									""																		Spanish_Madrid,Community of Madrid,Spain	es	es-es			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	es	es	28	Spanish	Madrid,Community of Madrid,Spain	Energía	Canonical Scientific Issues	es	4.12.2022	7	https://energia.gob.es/en-us/Paginas/index.aspx	energia.gob.es	energia.gob.es	08.04.2023	1	4									""																		Spanish_Madrid,Community of Madrid,Spain	es	es-es			""	FALSE	0	0	0	0	0	0	0		0	0		
